ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-11-11 17:00:00+00:00,34,26,637542161,20.6,20.6,19.88,19.88,6,MDY   241220C00600000
2024-11-11 17:00:00+00:00,34,28,637542161,20.22,20.22,20.22,20.22,1,MDY   241220C00600000
2024-11-11 17:00:00+00:00,34,37,620759352,13.6,13.6,13.6,13.6,2,MDY   250117C00620000
2024-11-11 17:00:00+00:00,34,28,637539047,14.03,14.03,14.03,14.03,1,MDY   241220C00610000
2024-11-11 17:00:00+00:00,34,26,620769772,0.35,0.35,0.35,0.35,1,MDY   241115C00640000
2024-11-11 17:00:00+00:00,34,24,637542161,20.51,20.51,20.51,20.51,1,MDY   241220C00600000
2024-11-11 17:00:00+00:00,34,37,620761753,5.0,5.0,5.0,5.0,2,MDY   241115P00610000
2024-11-11 17:00:00+00:00,34,37,620762143,5.4,5.4,5.4,5.4,3,MDY   250919P00495000
2024-11-11 18:00:00+00:00,34,29,620771425,5.94,5.94,5.88,5.88,2,MDY   250117C00640000
2024-11-11 18:00:00+00:00,34,20,637551412,22.47,22.47,22.47,22.47,1,MDY   241220C00595000
2024-11-11 18:00:00+00:00,34,29,637551412,22.47,22.52,22.47,22.52,2,MDY   241220C00595000
2024-11-11 18:00:00+00:00,34,35,637545993,1.15,1.15,1.15,1.15,1,MDY   250620P00370000
2024-11-11 18:00:00+00:00,34,26,620759345,5.0,5.0,5.0,5.0,6,MDY   250117C00645000
2024-11-11 18:00:00+00:00,34,36,637542161,19.45,19.45,19.45,19.45,2,MDY   241220C00600000
2024-11-11 18:00:00+00:00,34,29,637545993,0.9,0.9,0.9,0.9,1,MDY   250620P00370000
2024-11-11 18:00:00+00:00,34,33,620759345,5.0,5.0,5.0,5.0,1,MDY   250117C00645000
2024-11-11 18:00:00+00:00,34,35,620763871,53.77,53.77,53.77,53.77,1,MDY   250321C00570000
2024-11-11 18:00:00+00:00,34,20,620776206,14.05,14.05,14.05,14.05,5,MDY   241115C00595000
2024-11-11 18:00:00+00:00,34,20,620772160,18.4,18.4,18.4,18.4,5,MDY   241115C00590000
2024-11-11 18:00:00+00:00,34,22,637550200,304.8,304.8,304.8,304.8,2,MDY   250620C00310000
2024-11-11 18:00:00+00:00,34,20,620771425,5.94,5.94,5.94,5.94,1,MDY   250117C00640000
2024-11-11 18:00:00+00:00,34,26,637539039,172.7,172.7,172.7,172.7,4,MDY   241220C00440000
2024-11-11 18:00:00+00:00,34,35,637539039,172.7,172.7,172.7,172.7,3,MDY   241220C00440000
2024-11-11 18:00:00+00:00,34,26,637551438,11.0,11.0,11.0,11.0,1,MDY   241220C00615000
2024-11-11 18:00:00+00:00,34,35,620763864,35.66,35.66,35.66,35.66,7,MDY   250321C00595000
2024-11-11 19:00:00+00:00,34,22,620772167,1.63,1.63,1.63,1.63,3,MDY   241115P00595000
2024-11-11 19:00:00+00:00,34,26,620777859,3.4,3.4,3.4,3.4,1,MDY   241115P00605000
2024-11-11 19:00:00+00:00,34,22,620764125,0.79,0.79,0.79,0.79,3,MDY   241115P00575000
2024-11-11 19:00:00+00:00,34,23,637539761,36.2,36.2,36.2,36.2,3,MDY   250620C00610000
2024-11-11 20:00:00+00:00,34,29,620768560,1.0,1.05,1.0,1.05,2,MDY   250919P00335000
2024-11-11 20:00:00+00:00,34,23,637542161,19.3,19.3,19.3,19.3,1,MDY   241220C00600000
2024-11-11 20:00:00+00:00,34,37,637538981,9.0,9.0,9.0,9.0,1,MDY   241220P00600000
2024-11-11 20:00:00+00:00,34,29,637552122,0.8,0.9,0.8,0.9,2,MDY   250620P00360000
2024-11-12 14:00:00+00:00,34,34,620758944,7.05,7.05,7.05,7.05,3,MDY   241115C00605000
2024-11-12 14:00:00+00:00,34,29,637549366,1.15,1.5,1.15,1.5,2,MDY   250620P00380000
2024-11-12 14:00:00+00:00,34,26,637545497,18.9,18.9,18.9,18.9,5,MDY   241220C00600000
2024-11-12 14:00:00+00:00,34,32,620774866,4.33,4.33,4.33,4.33,1,MDY   250321P00540000
2024-11-12 14:00:00+00:00,34,35,620774865,1.5,1.5,1.5,1.5,1,MDY   250321P00470000
2024-11-12 14:00:00+00:00,34,32,637545532,2.42,2.42,2.42,2.42,1,MDY   241220P00565000
2024-11-12 14:00:00+00:00,34,34,637545537,3.83,3.83,3.83,3.83,3,MDY   241220C00640000
2024-11-12 14:00:00+00:00,34,26,620777973,14.4,14.4,14.4,14.4,5,MDY   250117P00610000
2024-11-12 14:00:00+00:00,34,29,637549363,1.05,1.05,1.05,1.05,2,MDY   250620P00385000
2024-11-12 14:00:00+00:00,34,29,637535800,1.05,1.1,1.05,1.1,2,MDY   250620P00375000
2024-11-12 14:00:00+00:00,34,29,637543926,0.85,0.85,0.85,0.85,1,MDY   250620P00365000
2024-11-12 14:00:00+00:00,34,32,637543926,0.85,0.85,0.85,0.85,1,MDY   250620P00365000
2024-11-12 14:00:00+00:00,34,26,637545513,8.3,8.3,8.3,8.3,2,MDY   241220C00620000
2024-11-12 15:00:00+00:00,34,33,637548231,5.3,5.3,5.3,5.3,1,MDY   241220P00585000
2024-11-12 15:00:00+00:00,34,23,637545497,17.9,17.9,17.9,17.9,1,MDY   241220C00600000
2024-11-12 15:00:00+00:00,34,22,637537339,102.38,102.43,102.38,102.43,2,MDY   241220C00505000
2024-11-12 15:00:00+00:00,34,29,620779005,24.2,24.2,24.2,24.2,1,MDY   250321C00610000
2024-11-12 15:00:00+00:00,34,34,620779005,24.74,24.74,24.74,24.74,3,MDY   250321C00610000
2024-11-12 15:00:00+00:00,34,28,620763639,35.03,35.03,35.03,35.03,2,MDY   250919C00625000
2024-11-12 15:00:00+00:00,34,23,620761553,13.2,13.2,13.2,13.2,17,MDY   250117C00615000
2024-11-12 15:00:00+00:00,34,61,637546634,121.32,121.32,121.32,121.32,3,MDY   250620C00500000
2024-11-12 15:00:00+00:00,34,22,620774844,107.8,107.8,107.74,107.74,2,MDY   250321C00505000
2024-11-12 15:00:00+00:00,34,23,620779005,24.32,24.32,24.32,24.32,2,MDY   250321C00610000
2024-11-12 15:00:00+00:00,34,61,620779005,24.32,24.32,24.32,24.32,3,MDY   250321C00610000
2024-11-12 15:00:00+00:00,34,26,637546634,121.45,121.45,121.45,121.45,1,MDY   250620C00500000
2024-11-12 15:00:00+00:00,34,29,637546634,121.2,121.2,121.2,121.2,1,MDY   250620C00500000
2024-11-12 15:00:00+00:00,34,26,620779005,24.45,24.45,24.45,24.45,1,MDY   250321C00610000
2024-11-12 15:00:00+00:00,34,23,637546634,121.32,121.32,121.32,121.32,2,MDY   250620C00500000
2024-11-12 15:00:00+00:00,34,35,637546634,122.25,122.25,122.25,122.25,1,MDY   250620C00500000
2024-11-12 15:00:00+00:00,34,29,620761572,50.5,50.5,50.5,50.5,2,MDY   250117C00565000
2024-11-12 15:00:00+00:00,34,37,637548189,6.5,6.5,6.5,6.5,1,MDY   241220P00590000
2024-11-12 15:00:00+00:00,34,20,620779005,24.27,24.27,24.27,24.27,1,MDY   250321C00610000
2024-11-12 15:00:00+00:00,34,24,620779005,24.74,24.74,24.74,24.74,3,MDY   250321C00610000
2024-11-12 15:00:00+00:00,34,35,620779005,25.25,25.25,25.25,25.25,1,MDY   250321C00610000
2024-11-12 15:00:00+00:00,34,20,637546634,121.27,121.27,121.27,121.27,1,MDY   250620C00500000
